generic/something,isa,generic/all
generic/entity,isa,generic/something
generic/situation,isa,generic/something
generic/state,isa,generic/situation
generic/process,isa,generic/situation
generic/event,isa,generic/process
generic/action,isa,generic/situation
generic/process,collection,generic/action
generic/task,isa,generic/process
generic/temporal_entity,isa,generic/entity
generic/spatial_entity,isa,generic/entity
generic/information_entity,isa,generic/entity
generic/property,isa,generic/information_entity
generic/property_measure,isa,generic/information_entity
generic/space_location,isa,generic/spatial_entity
generic/physical_entity,isa,generic/spatial_entity
generic/imaginary_spatial_entity,isa,generic/spatial_entity
generic/living_entity,isa,generic/physical_entity
generic/physical_object,isa,generic/physical_entity
generic/date,isa,generic/temporal_entity
generic/hour,isa,generic/temporal_entity
generic/collection,isa,generic/entity
generic/person,isa,generic/human
generic/human,isa,generic/animal
generic/animal,isa,generic/living_entity
generic/speed,isa,generic/property
generic/size,isa,generic/property
generic/color,isa,generic/property
generic/weight,isa,generic/property
generic/green,isa,generic/color
generic/blue,isa,generic/color
generic/white,isa,generic/color
generic/black,isa,generic/color
generic/red,isa,generic/color
generic/yellow,isa,generic/color
generic/brown,isa,generic/color
generic/grey,isa,generic/color
generic/orange,isa,generic/color
generic/big,isa,generic/property_measure
generic/small,isa,generic/property_measure
generic/fast,isa,generic/property_measure
generic/slow,isa,generic/property_measure
generic/mammal,isa,generic/animal
generic/animal,isa,generic/living_entity
generic/biological_kingdom,isa,generic/collection
generic/behavior,isa,generic/property
generic/heavy,isa,generic/weight
generic/light,isa,generic/weight
generic/medium_weight,isa,generic/weight
generic/scientific_name,isa,generic/information_entity
generic/habitat,isa,generic/space_location
generic/big,isa,generic/size
generic/small,isa,generic/size
generic/medium_size,isa,generic/size
generic/dead,isa,generic/state
generic/alive,isa,generic/state
generic/fear,isa,generic/state
